,CurrencyName,1.00 INR,inv 1 INR
0,Argentine Peso,0.831549,1.202574
1,Australian Dollar,0.020475,48.839306
2,Bahraini Dinar,0.005249,190.519035
3,Botswana Pula,0.152697,6.548899
4,Brazilian Real,0.058577,17.071445
5,Bruneian Dollar,0.018990,52.658916
6,Bulgarian Lev,0.024698,40.488806
7,Canadian Dollar,0.018459,54.173158
8,Chilean Peso,10.824343,0.092384
9,Chinese Yuan Renminbi,0.097835,10.221340
10,Colombian Peso,47.831263,0.020907
11,Croatian Kuna,0.093932,10.645949
12,Czech Koruna,0.323343,3.092689
13,Danish Krone,0.094391,10.594241
14,Euro,0.012628,79.189221
15,Hong Kong Dollar,0.109259,9.152532
16,Hungarian Forint,4.227420,0.236551
17,Icelandic Krona,1.716465,0.582593
18,Indonesian Rupiah,196.231615,0.005096
19,Iranian Rial,586.586726,0.001705
20,Israeli Shekel,0.048470,20.631229
21,Japanese Yen,1.519297,0.658199
22,Kazakhstani Tenge,5.428276,0.184221
23,South Korean Won,16.243861,0.061562
24,Kuwaiti Dinar,0.004240,235.858776
25,Libyan Dinar,0.019678,50.818411
26,Malaysian Ringgit,0.057868,17.280783
27,Mauritian Rupee,0.510424,1.959154
28,Mexican Peso,0.267705,3.735461
29,Nepalese Rupee,1.607500,0.622084
30,New Zealand Dollar,0.021804,45.862261
31,Norwegian Krone,0.126858,7.882821
32,Omani Rial,0.005367,186.307301
33,Pakistani Rupee,2.170805,0.460659
34,Philippine Peso,0.706069,1.416292
35,Polish Zloty,0.053967,18.529970
36,Qatari Riyal,0.050813,19.679988
37,Romanian New Leu,0.060255,16.596091
38,Russian Ruble,0.886975,1.127428
39,Saudi Arabian Riyal,0.052349,19.102709
40,Singapore Dollar,0.018990,52.658916
41,South African Rand,0.205399,4.868582
42,Sri Lankan Rupee,2.515940,0.397466
43,Swedish Krona,0.134655,7.426387
44,Swiss Franc,0.013815,72.383947
45,Taiwan New Dollar,0.425815,2.348438
46,Thai Baht,0.422585,2.366389
47,Trinidadian Dollar,0.094547,10.576720
48,Turkish Lira,0.080202,12.468478
49,Emirati Dirham,0.051267,19.505829
50,British Pound,0.010819,92.429687
51,US Dollar,0.013960,71.635157
52,Venezuelan Bolivar,0.139422,7.172481
